clause,instance,premises_established,supported_in_this_instance,premises
P4(a),S00,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(a),S01,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(a),S02,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(a),S04,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(a),S09,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(a),S13,true,true,"G1=true;G2=true;G3=true;G4=true;G5=true;G6=true;effect_occurred=true"
P4(b),fresh-revocation-normal-resource,true,true,"G1=true;G5=true;revocation_effective_before_final_admission=true;no_applicable_reauthorization=true;final_admission_denied=true;complete_mediation_bounded=true"
